62 | 4 | 19 이니스프리 한란 스킨 200mL | 20,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 35 | 96.0
63 | 4 | 19′ 이니스프리 마이컨투어링 (1호~5호) | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 2 | 100.0
64 | 4 | 이니스프리 애플 씨드 클렌징 오일 (대용량) 300mL | 20,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/11(화) 도착예정 | null | 2 | 100.0
65 | 4 | 19′ 이니스프리 비자 트러블 스킨 200mL | 15,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 59 | 92.0
66 | 4 | 19´ 이니스프리 비자 시카 밤 | 22,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 28 | 96.0
67 | 4 | 이니스프리 에코 뷰티툴 블랙헤드 아웃 브러쉬 | 10,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 40 | 98.0
68 | 4 | 19′ 이니스프리 청보리 클렌징 티슈 50매 | 6,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 40 | 90.0
69 | 4 | 19´ 이니스프리 유채꿀 립밤 3.5g | 6,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 16 | 94.0
70 | 4 | NEW 이니스프리 블랙헤드 굿바이 손가락 실리콘 | 2,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 26 | 96.0
71 | 4 | 이니스프리 투톤 아이브로우 키트 (2종 택1) | 7,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 74 | 96.0
72 | 4 | 19 이니스프리 제주 왕벚꽃 톤업크림 50ml | 20,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 69 | 92.0
73 | 4 | 19′ 이니스프리 제주 왕벚꽃 톤업크림 [튜브타입] 50ml | 20,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 47 | 92.0
74 | 4 | 이니스프리 노세범 모이스처 파우더 | 8,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 53 | 94.0
75 | 4 | 이니스프리 트윙클 글리터 2.7g (1호~3호) | 8,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 2 | 90.0
76 | 4 | 19′ 이니스프리 애플씨드 립앤아이 메이크업 리무버 100mL | 6,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 39 | 92.0
77 | 4 | 이니스프리 19 리얼 헤어 메이크업 젤리 컨실러(1호~3호) | 12,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 33 | 92.0
78 | 4 | 19′ 이니스프리 올리브 리얼 스킨케어 Ex. 2종세트 | 32,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 16 | 90.0
79 | 4 | 이니스프리 19자연발효 에너지 에센스 150mL | 35,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 25 | 98.0
80 | 4 | 이니스프리 마이팔레트 마이 블러셔(1호~20호) | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 31 | 98.0
81 | 4 | [한정] 트루케어 판테놀 10 수분스킨+[증정]판테놀스킨50mL 2개 | 18,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 6 | 94.0
82 | 4 | 19 이니스프리 마이 아이섀도우(매트) 54~56 호 | 5,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 0 | 0.0
83 | 4 | 이니스프리 마이팔레트 마이 블러셔 [크림](1호~5호) | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 13 | 98.0
84 | 4 | 19′ 이니스프리 마이 퍼퓸드 바디 TO GO [바디 클렌저] 20mL | 1,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 2 | 80.0
85 | 4 | 이니스프리 수퍼 롱래쉬 카라 | 12,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 11 | 88.0
86 | 4 | 이니스프리 스키니 꼼꼼카라 ZERO (2종 택1) | 10,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 74 | 94.0
87 | 4 | [한정]이니스프리 그린티 씨드 크림 50mL+폼클렌저 50mL+씨드 세 | 22,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 1 | 100.0
88 | 4 | 19′ 이니스프리 마이 퍼퓸드 바디 TO GO [바디 로션] 20mL | 1,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 7 | 84.0
89 | 4 | 19´ 이니스프리 올리브 리얼 로션 160mL | 16,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 22 | 94.0
90 | 4 | 이니스프리 에코 뷰티툴 풋 스톤 | 3,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 85 | 94.0
91 | 4 | 이니스프리 트루케어 PHA 토너 패드 | 19,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 16 | 98.0
92 | 4 | NEW 이니스프리 뷰티툴 헤어 메이크업 퍼프 | 1,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 6 | 90.0
93 | 4 | 19′ 이니스프리 마이팔레트 마이 하이라이터(1호~2호) | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 6 | 88.0
94 | 4 | 이니스프리 스키니 짱짱카라 | 9,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 11 | 86.0
95 | 4 | (미키LTD)라이블리 블러셔 팔레트+미키 파우치 증정 | 33,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/11(화) 도착예정 | null | 0 | 0.0
96 | 4 | 19′ 이니스프리 마이아이섀도우(투톤) 2호 | 8,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 1 | 60.0
97 | 4 | 19′ 이니스프리 미네랄 수분 피팅 베이스 | 12,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 7 | 90.0
98 | 4 | 19 이니스프리 그린티 밸런싱 스킨 200mL | 16,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 74 | 96.0
99 | 4 | 19´ 이니스프리 페이스 디자이닝 듀오 (1호~3호) | 12,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 1 | 80.0
100 | 4 | 19′ 이니스프리 마이팔레트 마이 블러셔 (1호~21호) | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 4 | 96.0
101 | 4 | 19 이니스프리 네일 리무버 | 2,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 7 | 84.0
102 | 4 | 이니스프리 글리터 브러시 | 4,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 1 | 100.0
103 | 4 | [한정]이니스프리 그린티씨드 에센스인로션 100mL+폼클렌저 50mL | 20,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 1 | 80.0
104 | 4 | 19 이니스프리 네일 베이스코트 6mL | 3,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 7 | 92.0
105 | 4 | 이니스프리 인텐시브 롱래스팅 선스크린 50ml | 14,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 44 | 96.0
106 | 4 | 19 이니스프리 한란 로션 160mL | 20,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 30 | 94.0
107 | 4 | NEW 이니스프리 셀프 네일 스티커[디자인](20호~24호) | 3,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 1 | 70.0
108 | 4 | 19 이니스프리 알로에 리바이탈 스킨 미스트 120ml | 10,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 27 | 92.0
109 | 4 | 2017 NEW 이니스프리 뷰티툴 미니 아이섀도우 브러시 [디파이닝] | 4,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 20 | 96.0
110 | 4 | 19′ 이니스프리 애플 씨드 클렌징 폼 150mL | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 36 | 96.0
111 | 4 | 이니스프리 이지 스탬핑 브로우 | 8,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 30 | 88.0
112 | 4 | 이니스프리 마이팔레트 마이 아이섀도우[글리터](1호~25호) | 5,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 12 | 98.0
113 | 4 | 이니스프리 스페셜 케어 마스크- 풋 | 2,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 101 | 98.0
114 | 4 | 이니스프리 미네랄 스틱 컨실러(1~2호) | 8,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 0 | 0.0
115 | 4 | 이니스프리 수정 화장 패드 1.6g 2매 | 800 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 2 | 100.0
116 | 4 | 19′ 이니스프리 그린티 밸런싱 스킨 200ml+로션 160ml | 32,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 4 | 76.0
117 | 4 | (미키LTD) 이니스프리 마이 립밤 세트 도날드&데이지 | 18,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 1 | 80.0
118 | 4 | 이니스프리 비비드 샤인 틴트 4.5g (1호~5호) | 10,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 9 | 94.0
119 | 4 | 19′ 이니스프리 비비드 젤리 틴트 5.2g | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 16 | 84.0
120 | 4 | [한정]이니스프리 자연발효 에너지 오일 30mL+폼클렌저 50mL+씨 | 28,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 0 | 0.0
121 | 4 | 19′ 이니스프리 올리브 리얼 클렌징 폼 150mL | 10,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 21 | 92.0
122 | 4 | 19 이니스프리 자연발효 에너지 로션 160mL | 23,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 7 | 86.0
123 | 4 | 19 이니스프리 마이 아이섀도우 (글리터) 37~40호 | 5,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 0 | 0.0
124 | 4 | [한정] 이니스프리 칼라민 6.5 클렌저+(증정)판테놀스킨50mL+선 | 20,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 2 | 90.0
